Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,-11.673881834396147,15,PTM-SEA,0.65,3,TK,FAK,NA,PTK2
MAP2K7,0,23,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,-3.5378746671851236,20,PTM-SEA,0.525,3,TK,JAKA,NA,JAK2
MAP3K6,0,23,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,-23.559546169900823,9,PTM-SEA,0.8,4,TK,ABL,NA,ABL1
EGFR,28.297333901627184,6,PTM-SEA,0.875,4,TK,EGFR,NA,EGFR
ERBB2,21.22822732908403,10,PTM-SEA,0.775,4,TK,EGFR,NA,ERBB2
INSR,-1.9770910987527877,21,PTM-SEA,0.5,3,TK,INSR,NA,INSR
LCK,-29.212703398493314,3,PTM-SEA,0.95,4,TK,SRC,SRCB,LCK
FYN,-28.491975013574297,4,PTM-SEA,0.925,4,TK,SRC,SRCA,FYN
YES1,0,23,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,0,23,PTM-SEA,0,1,TK,SRC,SRCB,LYN
RET,-3.8287349681549374,19,PTM-SEA,0.55,3,TK,RET,NA,RET
IGF1R,0,23,PTM-SEA,0,1,TK,INSR,NA,IGF1R
MET,-7.546629067042501,18,PTM-SEA,0.575,3,TK,MET,NA,MET
HCK,0,23,PTM-SEA,0,1,TK,SRC,SRCB,HCK
ROS1,0,23,PTM-SEA,0,1,TK,SEV,NA,ROS1
PDGFRB,-28.374903244286685,5,PTM-SEA,0.9,4,TK,PDGFR,NA,PDGFRB
FGR,0,23,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,-0.05709675209472087,22,PTM-SEA,0.475,2,TK,SRC,SRCA,SRC
FGFR3,0,23,PTM-SEA,0,1,TK,FGFR,NA,FGFR3
JAK1,30.436804049845144,1,PTM-SEA,1,4,TK,JAKA,NA,JAK1
TYK2,0,23,PTM-SEA,0,1,TK,JAKA,NA,TYK2
FLT4,0,23,PTM-SEA,0,1,TK,VEGFR,NA,FLT4
KDR,0,23,PTM-SEA,0,1,TK,VEGFR,NA,KDR
ABL2,0,23,PTM-SEA,0,1,TK,ABL,NA,ABL2
ZAP70,-8.796166291982775,17,PTM-SEA,0.6,3,TK,SYK,NA,ZAP70
SYK,-19.089435863879604,13,PTM-SEA,0.7,3,TK,SYK,NA,SYK
MAP2K4,28.172116641175535,7,PTM-SEA,0.85,4,STE,STE7,MEK4,MAP2K4
MAP2K3,0,23,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,-30.121052631578944,2,PTM-SEA,0.975,4,TK,TEC,NA,BMX
JAK3,-9.7,16,PTM-SEA,0.625,3,TK,JAKA,NA,JAK3
MAP2K6,0,23,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
MAP2K1,0,23,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K1
MST1R,0,23,PTM-SEA,0,1,TK,MET,NA,MST1R
ITK,19.14530925099718,12,PTM-SEA,0.725,3,TK,TEC,NA,ITK
PTK6,-15.267718553195968,14,PTM-SEA,0.675,3,TK,SRC,SRM,PTK6
ERBB4,0,23,PTM-SEA,0,1,TK,EGFR,NA,ERBB4
NTRK2,-20.638297872340424,11,PTM-SEA,0.75,4,TK,TRK,NA,NTRK2
MAP3K5,0,23,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,-24.661780719781053,8,PTM-SEA,0.825,4,TK,ALK,NA,ALK
AAK1,267,253,KEA3,0.12857142857142856,1,OTHER,NAK,BIKE,AAK1
ABL1,20.333333333333336,10,KEA3,0.9742857142857143,4,TK,ABL,NA,ABL1
ABL2,48.666666666666664,37,KEA3,0.8885714285714286,4,TK,ABL,NA,ABL2
ACVR1,166,168,KEA3,0.42,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,204.5,201,KEA3,0.3,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,35,24,KEA3,0.9314285714285714,4,TKL,STKR,TYPE2,ACVR2B
AKT1,54.33333333333333,44,KEA3,0.8657142857142858,4,AGC,AKT,NA,AKT1
AKT2,77,71,KEA3,0.7628571428571429,4,AGC,AKT,NA,AKT2
AKT3,198,194,KEA3,0.32285714285714284,2,AGC,AKT,NA,AKT3
ALK,30,19,KEA3,0.9457142857142857,4,TK,ALK,NA,ALK
ARAF,50,38,KEA3,0.8828571428571429,4,TKL,RAF,RAF,ARAF
ATM,116.33333333333333,119,KEA3,0.5914285714285714,3,ATYPICAL,PIKK,ATM,ATM
ATR,100.66666666666667,98,KEA3,0.6628571428571428,3,ATYPICAL,PIKK,ATR,ATR
AURKA,135.33333333333334,136,KEA3,0.5257142857142857,3,OTHER,AUR,NA,AURKA
AURKB,69.33333333333333,65,KEA3,0.7885714285714286,4,OTHER,AUR,NA,AURKB
AURKC,187,188,KEA3,0.34285714285714286,2,OTHER,AUR,NA,AURKC
AXL,210,207,KEA3,0.27714285714285714,2,TK,AXL,NA,AXL
BLK,237.5,233,KEA3,0.19142857142857142,1,TK,SRC,SRCB,BLK
BMP2K,325,286,KEA3,0.03428571428571429,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,52.5,42,KEA3,0.8714285714285714,4,TKL,STKR,TYPE1,BMPR1A
BMPR1B,132,133,KEA3,0.5371428571428571,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,180,181,KEA3,0.3742857142857143,2,TKL,STKR,TYPE2,BMPR2
BMX,57,48,KEA3,0.8514285714285714,4,TK,TEC,NA,BMX
BRAF,181,182,KEA3,0.37142857142857144,2,TKL,RAF,RAF,BRAF
BRSK1,225.66666666666666,224,KEA3,0.22285714285714286,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,312,276,KEA3,0.06285714285714286,1,CAMK,CAMKL,BRSK,BRSK2
BTK,68.33333333333333,63,KEA3,0.7971428571428572,4,TK,TEC,NA,BTK
BUB1,200.5,195,KEA3,0.32,2,OTHER,BUB,NA,BUB1
CAMK1,190.66666666666666,191,KEA3,0.3342857142857143,2,CAMK,CAMK1,NA,CAMK1
